TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;
4779190;1;-18.9461352362328;19.0958738067504;27.0481108673279;-0.0256231871447143;-0.348820474722776;-0.471982659735298;0.809258980551911;
4779297;1;-18.9765193216684;18.9172543822742;26.9910298670051;-0.0508879198135898;-0.354359143160454;-0.466784745452314;0.8086729986148;
4779409;1;-19.042335368159;18.7184612082726;26.9501922769144;-0.0777933302860628;-0.358967444005841;-0.454343935926991;0.811580039055475;
4779516;1;-19.0592424415522;18.477198990051;26.8937171367655;-0.104494610329752;-0.372377054792905;-0.439518619390333;0.810703144612756;
4779625;1;-19.0729730354417;18.5118855920122;26.9183930856261;-0.114363620200731;-0.363069028709479;-0.453105240509072;0.806100169823673;
4779736;1;-19.0888725122682;18.5900437648144;26.9482285847678;-0.115110057739929;-0.35206149471461;-0.46436344677307;0.804468127303661;
4779845;1;-19.0827038534695;18.6404873841654;26.9617341831233;-0.114415745517571;-0.346238258290227;-0.473212196609735;0.801934113661215;
4779956;1;-19.0679004729825;18.7674039873103;26.9969971348152;-0.103486258867307;-0.336957971154177;-0.484597741082929;0.800571639042149;
4780064;1;-19.0662981543853;18.8732413268356;27.0228496077394;-0.0885129206792499;-0.33077651155559;-0.487239103984361;0.803337051196109;
4780178;1;-19.0509674335774;18.9780612819508;27.0432767558662;-0.0679655379671055;-0.32848983833443;-0.486458773019115;0.806742197924838;
4780282;1;-19.0523459498531;19.106740701828;27.0855867219039;-0.0502096259376899;-0.320468321354007;-0.489074100263014;0.80968239015287;
4780391;1;-19.0135174439492;19.2509769824615;27.124169431827;-0.0287712343234676;-0.316031920455455;-0.49513697217819;0.808786387194391;
4780500;1;-19.0103132218598;19.4015667906467;27.1969512600519;-0.0156217938223865;-0.302199269641621;-0.505121265326095;0.808259901455718;
4780609;1;-19.0320991418914;19.5652006076354;27.2941875105763;-0.00342335399854024;-0.282539732742416;-0.514860439420603;0.809369080203134;
4780717;1;-19.0687832038924;19.8227407359107;27.4747940832586;0.0203376927070764;-0.25124997324363;-0.525183233835906;0.812799114233085;
4780828;1;-19.0755704479619;20.0777398936302;27.6829879724889;0.0472211462886215;-0.216238601019408;-0.538441054858832;0.813075802871335;
